,playerid,first,last,season4,gspos,mpg,ppg,rpg,apg,bpg,spg,gf,dgf3,to_ast,fga3,measure,stats,stats_x,stats_y,ID1,playerName
19,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,r,3.0218339907295193,2.873934908045498,0.9337980573152889,4,Shane Battier
20,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,a,2.4099981292175814,-2.29204442505151,0.7447303783400633,10,Shane Battier
21,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,b,4.655983506275013,-2.7367184399054523,-3.7667697821059405,8,Shane Battier
22,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,s,4.380266702675122,2.574656168940216,-3.543710202358889,6,Shane Battier
23,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,z,3.0056506748444596,0.0,3.0056506748444596,11,Shane Battier
24,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,g,3.7043229742183708,-2.1773464139737495,-2.9968602387962124,8,Shane Battier
25,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,d,3.980796529192737,-2.3398534922365544,-3.220532043265731,8,Shane Battier
26,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,t,3.196276887047776,-1.8787244164499775,-2.585842320349505,8,Shane Battier
27,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,p,2.3611221584164923,0.0,2.3611221584164923,2,Robert Brickey
28,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,r,3.9971031639239496,3.8014710103538474,1.2351728059223719,4,Robert Brickey
29,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,a,2.265222474734594,-2.1543545954545693,0.6999922407330645,10,Robert Brickey
30,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,b,3.569545154973001,-2.0981259994851804,-2.887822692561913,8,Robert Brickey
31,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,s,3.3066712871869415,1.9436126167874532,-2.675153266145918,6,Robert Brickey
32,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,z,2.3611221584164923,0.0,2.3611221584164923,11,Robert Brickey
33,44,Robert,Brickey,1989,<Null>,25.11111111111111,10.972222222222221,5.75,1.3333333333333333,0.8333333333333334,1.0833333333333333,0.35361216730038025,0.3333333333333333,0.59,0.16666666666666666,g,3.7432385396152745,-2.200220409398673,-3.028343592548017,8,Robert Brickey
